index	table_id	annotator_id	premise	hypothesis	label
0	T1769	GW0	In Rainbows was Released on 10 October 2007  ( 2007-10-10 ). 	In Rainbows was released over ten years ago.	0
1	T1769	GW0	The Producer of In Rainbows are Nigel Godrich. 	Nigel Godrich has only produced one album.	1
2	T1769	GW0	The Length of In Rainbows are 42 : 39. 	In Rainbows is less than 40 minutes long.	2
3	T1769	GW1	The Label of In Rainbows are Self-released, Xurbia Xendless, XL, and TBD. 	It took over two years to record In Rainbows.	0
4	T1769	GW1	The Genre of In Rainbows are Alternative rock, art rock, experimental rock, and art pop. 	In Rainbows falls into the art pop genre more than it does the art rock one.	1
5	T1769	GW1	The Length of In Rainbows are 42 : 39. 	The run time of In Rainbows is over an hour.	2
6	T1769	GW2	In Rainbows was Released on 10 October 2007  ( 2007-10-10 ). 	In Rainbows was released a few weeks before Halloween.	0
7	T1769	GW2	The Length of In Rainbows are 42 : 39. 	In Rainbows had more than 10 tracks.	1
8	T1769	GW2	In Rainbows was Released on 10 October 2007  ( 2007-10-10 ). 	In Rainbows was recorded in less than 60 days.	2
9	T1	GW0	The Running time of Brooklyn are 112 minutes. 	Brooklyn has a run time under two hours.	0
10	T1	GW0	The Screenplay by of Brooklyn are Nick Hornby. 	Brooklyn was the highest grossing film of 2015.	1
11	T1	GW0	The Box office of Brooklyn are $62.1 million. 	Brooklyn made less than 60 million dollars at the box office.	2
12	T1	GW1	The Box office of Brooklyn are $62.1 million. 	Brooklyn made about 50 million more at the box office than it's budget was.	0
13	T1	GW1	The Produced by of Brooklyn are Amanda Posey, and Finola Dwyer. 	Finola Dwyer did more to produce Brooklyn than Amanda Posey did.	1
14	T1	GW1	The Running time of Brooklyn are 112 minutes. 	Brooklyn has a run time longer than two hours.	2
15	T1	GW3	The Language of Brooklyn are English. 	Brooklyn was an English film.	0
16	T1	GW3	Brooklyn was Release date on 26 January 2015  ( 2015-01-26 )  (Sundance), and 6 November 2015  ( 2015-11-06 )  (United Kingdom). 	Brooklyn was only released in three countries.	1
17	T1	GW3	The Based on of Brooklyn are Brooklyn  by Colm Toibin. 	Brooklyn has a run-time of 120 minutes.	2
18	T3	GW5	The Output of Hazelnuts or filberts, raw are Nutritional value per 100 g. 	Raw hazelnuts contain fewer than 5 g of sugars per serving.	0
19	T3	GW5	The Fat of Hazelnuts or filberts, raw are 60.75 g. 	Raw hazelnuts contain more good than bad sugars.	1
20	T3	GW5	The Output of Hazelnuts or filberts, raw are Nutritional value per 100 g. 	Raw hazelnuts contain more than 5 g of sugars per serving.	2
21	T3	GW2	The Zinc of Hazelnuts or filberts, raw are 26%  2.45 mg. 	400 grams of filberts contain all the zinc a person needs in one day according to the USDA.	0
22	T3	GW2	The Vitamin C of Hazelnuts or filberts, raw are 8%  6.3 mg. 	Hazelnuts lose vitamin C when roasted.	1
23	T3	GW2	The Zinc of Hazelnuts or filberts, raw are 26%  2.45 mg. 	Hazelnuts are low in fat.	2
24	T3	GW4	The Fat of Hazelnuts or filberts, raw are 60.75 g. 	A bag of Hazelnuts has over 600 calories.	0
25	T3	GW4	The Minerals of Hazelnuts or filberts, raw are Quantity     %DV =. 	A serving of Hazelnuts has a high amount of fat.	1
26	T3	GW4	The Fat of Hazelnuts or filberts, raw are 60.75 g. 	A bag of Hazelnuts is known for being very sweet.	2
27	T5	GW0	The Nationality of Charles Francis Jenkins are American. 	Charles Francis Jenkins has been awarded more than one medal.	0
28	T5	GW0	The Occupation of Charles Francis Jenkins are Engineer. 	Charles Francis Jenkins spent most of his life in Ohio.	1
29	T5	GW0	The Significant advance of Charles Francis Jenkins are Motion picture projector and television. 	Charles Francis Jenkins never saw a motion picture in his lifetime.	2
30	T5	GW2	The Born of Charles Francis Jenkins are August 22, 1867 , Dayton, Ohio. 	Charles Francis Jenkins was born in the 19th century.	0
31	T5	GW2	The Died of Charles Francis Jenkins are June 6, 1934 (age 66) , Washington, D.C.. 	Charles Francis Jenkins lived in Ohio until he was 21.	1
32	T5	GW2	The Nationality of Charles Francis Jenkins are American. 	Charles Francis Jenkins never won any medals.	2
33	T5	GW1	The Awards of Charles Francis Jenkins are Elliott Cresson Medal (1897) , John Scott Medal (1913). 	Charles Francis Jenkins received awards for his work in two different centuries.	0
34	T5	GW1	The Projects of Charles Francis Jenkins are Over 400 patents related to a variety of inventions. 	Charles Francis Jenkins patents were mostly related to electronics.	1
35	T5	GW1	The Died of Charles Francis Jenkins are June 6, 1934 (age 66) , Washington, D.C.. 	Charles Francis Jenkins died in the Fall of 1934.	2
36	T6	GW1	The Years active of Kansas are 1973 - 1984, and 1985 - present. 	Kansas has been active as a band for over 45 years.	0
37	T6	GW1	The Labels of Kansas are Kirshner, MCA, Magna Carta, and Inside Out. 	Kansas' band members were happier with MCA as a label than with Inside Out.	1
38	T6	GW1	The Genres of Kansas are Progressive rock, art rock, and hard rock. 	Kansas has made music on more than four record labels.	2
39	T6	GW6	The Years active of Kansas are 1973 - 1984, and 1985 - present. 	Kansas has been signed to multiple labels.	0
40	T6	GW6	The Labels of Kansas are Kirshner, MCA, Magna Carta, and Inside Out. 	Kansas is currently signed to the Inside Out label.	1
41	T6	GW6	The Years active of Kansas are 1973 - 1984, and 1985 - present. 	Kansas began activities before the seventies.	2
42	T6	GW7	The Years active of Kansas are 1973 - 1984, and 1985 - present. 	TheyÕre still together.	0
43	T6	GW7	The Origin of Kansas are Topeka, Kansas, U.S.. 	They just finished an album.	1
44	T6	GW7	The Origin of Kansas are Topeka, Kansas, U.S.. 	TheyÕre from Texas.	2
45	T6	GW0	The Years active of Kansas are 1973 - 1984, and 1985 - present. 	Kansas have been active for over thirty years.	0
46	T6	GW0	The Genres of Kansas are Progressive rock, art rock, and hard rock. 	Kansas the band recorded most of their music in Kansas.	1
47	T6	GW0	The Origin of Kansas are Topeka, Kansas, U.S.. 	Kansas was formed on the west coast of the United States.	2
48	T7	GW3	Flicker was Released on 20 October 2017  ( 2017-10-20 ). 	Flicker was released in the autumn of 2017	0
49	T7	GW3	Flicker was Released on 20 October 2017  ( 2017-10-20 ). 	Flicker was released in London and United States	1
50	T7	GW3	The Genre of Flicker are Folk pop. 	Flicker was a multi genre album with songs from rock, pop, Jazz, and another genres	2
51	T7	GW1	Flicker was Released on 20 October 2017  ( 2017-10-20 ). 	Flicker was released in the Fall of 2017.	0
52	T7	GW1	The Studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), and State of The Ark Studios Richmond). 	More of the recording on Flicker was done at Echo Studio than Blackbird Studio.	1
53	T7	GW1	The Length of Flicker are 35 : 54. 	The time it takes to listen to Flicker is over an hour.	2
54	T7	GW0	Flicker was Released on 20 October 2017  ( 2017-10-20 ). 	The Flicker album was recorded at multiple studios.	0
55	T7	GW0	The Producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, and TMS. 	Julian Bunetta was the executive producer of Flicker.	1
56	T7	GW0	Flicker was Released on 20 October 2017  ( 2017-10-20 ). 	Flicker is less than a year old.	2
57	T8	GW8	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was born in Wisconsin.	0
58	T8	GW8	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	He was convicted of assault.	1
59	T8	GW8	The Height of Jeffrey Dahmer are 6 ft 0 in (1.83 m). 	He is still in prison for his crimes.	2
60	T8	GW9	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was convicted of several crimes.	0
61	T8	GW9	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was killed by another prisoner.	1
62	T8	GW9	Jeffrey Dahmer was Died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S.. 	Jeffrey Dahmer was released after serving two life terms.	2
63	T8	GW4	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was known for killing people.	0
64	T8	GW4	The Criminal penalty of Jeffrey Dahmer are Life imprisonment (16 life terms). 	Jeffrey Dahmer spent his whole life in Wisconsin.	1
65	T8	GW4	Jeffrey Dahmer was Died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S.. 	Jeffrey Dahmer was a person that died when they were forty.	2
